Data Size	Alloc OpenCL Buffer Time (μs)	Kernel Argument Setting Time (μs)	Buffer to FPGA Time (μs)	Kernel Execution Time (μs)	FPGA to Buffer Time (μs)
64 B	1597409	11549	33654	126610	17015
128 B	1528169	11415	20570	127690	16424
256 B	1549331	13710	21270	130758	16768
512 B	1559697	11503	21473	136707	16833
1 KB	1569742	11343	21460	188838	17047
2 KB	1554277	11818	26676	283090	21195
4 KB	1547411	12238	30820	353632	24098
8 KB	1547874	12799	30875	416654	26950
16 KB	1562041	12886	30620	533233	34287
32 KB	1565508	13417	31878	894103	48573
64 KB	1673345	14003	48576	1574718	87548
128 KB	1921323	17780	89250	2936825	174007
256 KB	1984038	17536	97689	5654899	283583
512 KB	2080220	38129	91471	10911955	498503
1 MB	3229272	55077	109832	20427619	1119807
2 MB	7106452	102480	145966	42414269	2253519
4 MB	9313442	133456	135008	83862318	4414760
8 MB	11738129	154713	113440	166465592	8772480
Data Size	Alloc OpenCL Buffer Time (%)	Kernel Argument Setting Time (%)	Buffer to FPGA Time (%)	Kernel Execution Time (%)	FPGA to Buffer Time (%)
64 B	89.43	0.65	1.88	7.09	0.95
128 B	89.67	0.67	1.21	7.49	0.96
256 B	89.46	0.79	1.23	7.55	0.97
512 B	89.32	0.66	1.23	7.83	0.96
1 KB	86.80	0.63	1.19	10.44	0.94
2 KB	81.93	0.62	1.41	14.92	1.12
4 KB	78.62	0.62	1.57	17.97	1.22
8 KB	76.06	0.63	1.52	20.47	1.32
16 KB	71.88	0.59	1.41	24.54	1.58
32 KB	61.31	0.53	1.25	35.02	1.90
64 KB	49.24	0.41	1.43	46.34	2.58
128 KB	37.39	0.35	1.74	57.15	3.39
256 KB	24.68	0.22	1.22	70.35	3.53
512 KB	15.27	0.28	0.67	80.12	3.66
1 MB	12.95	0.22	0.44	81.90	4.49
2 MB	13.66	0.20	0.28	81.53	4.33
4 MB	9.52	0.14	0.14	85.70	4.51
8 MB	6.27	0.08	0.06	88.90	4.69
