Data Size	Alloc OpenCL Buffer Time (μs)	Kernel Argument Setting Time (μs)	Buffer to FPGA Time (μs)	Kernel Execution Time (μs)	FPGA to Buffer Time (μs)
64 B	24555	6230	33751	90016	24631
128 B	24854	6488	25003	90546	24522
256 B	24671	6354	24947	91013	23450
512 B	30365	8130	28116	95441	25819
1 KB	41538	11385	37506	105558	33986
2 KB	42462	13936	37308	111594	33926
4 KB	42229	11747	37697	122246	35417
8 KB	42536	11803	36648	141866	34937
16 KB	42904	12510	37995	185508	36032
32 KB	43569	12678	39754	272048	38078
64 KB	45078	14185	43937	435044	40103
128 KB	47528	14016	52526	772793	46137
256 KB	51219	15061	67965	1454171	59746
512 KB	61880	25624	143862	2810173	211353
1 MB	76409	28430	182037	5544330	171409
2 MB	160685	50756	406894	11012800	348611
4 MB	228217	80085	644388	21740082	525797
8 MB	350603	137646	1090359	43249552	868099
Data Size	Alloc OpenCL Buffer Time (%)	Kernel Argument Setting Time (%)	Buffer to FPGA Time (%)	Kernel Execution Time (%)	FPGA to Buffer Time (%)
64 B	13.70	3.48	18.84	50.24	13.75
128 B	14.50	3.79	14.59	52.82	14.31
256 B	14.48	3.73	14.64	53.40	13.76
512 B	16.16	4.33	14.97	50.80	13.74
1 KB	18.06	4.95	16.31	45.90	14.78
2 KB	17.75	5.83	15.60	46.65	14.18
4 KB	16.94	4.71	15.12	49.03	14.20
8 KB	15.88	4.41	13.69	52.98	13.05
16 KB	13.62	3.97	12.06	58.90	11.44
32 KB	10.73	3.12	9.79	66.99	9.38
64 KB	7.79	2.45	7.60	75.22	6.93
128 KB	5.09	1.50	5.63	82.83	4.95
256 KB	3.11	0.91	4.12	88.23	3.63
512 KB	1.90	0.79	4.42	86.39	6.50
1 MB	1.27	0.47	3.03	92.37	2.86
2 MB	1.34	0.42	3.40	91.93	2.91
4 MB	0.98	0.34	2.78	93.63	2.26
8 MB	0.77	0.30	2.39	94.65	1.90
