Data Size	Alloc OpenCL Buffer Time (μs)	Kernel Argument Setting Time (μs)	Buffer to FPGA Time (μs)	Kernel Execution Time (μs)	FPGA to Buffer Time (μs)
64 B	20465	5990	84202	132181	34335
128 B	20239	6229	32201	134020	35584
256 B	23316	7417	34951	138082	37099
512 B	23863	7714	35514	141560	37604
1 KB	22322	7238	34928	147694	37338
2 KB	28786	9230	39917	166326	40266
4 KB	33024	13897	40814	196090	40694
8 KB	23589	7716	35963	247247	37973
16 KB	32158	10340	42360	361429	42183
32 KB	31310	10386	44090	584616	43544
64 KB	27630	12137	44449	1040766	44834
128 KB	22609	8109	65447	1960011	69711
256 KB	23296	9177	98717	3754884	80432
512 KB	52084	18316	151740	7420345	124985
1 MB	65631	24103	227590	14611881	215454
2 MB	108434	40480	342548	28944462	310310
4 MB	179264	68018	534195	57573033	473173
8 MB	321931	130826	919137	114830051	799233
Data Size	Alloc OpenCL Buffer Time (%)	Kernel Argument Setting Time (%)	Buffer to FPGA Time (%)	Kernel Execution Time (%)	FPGA to Buffer Time (%)
64 B	7.38	2.16	30.38	47.69	12.39
128 B	8.87	2.73	14.11	58.71	15.59
256 B	9.68	3.08	14.51	57.33	15.40
512 B	9.69	3.13	14.42	57.49	15.27
1 KB	8.95	2.90	14.00	59.19	14.96
2 KB	10.12	3.24	14.03	58.46	14.15
4 KB	10.18	4.28	12.58	60.42	12.54
8 KB	6.69	2.19	10.20	70.14	10.77
16 KB	6.58	2.12	8.67	73.99	8.64
32 KB	4.39	1.45	6.18	81.89	6.10
64 KB	2.36	1.04	3.80	88.97	3.83
128 KB	1.06	0.38	3.08	92.20	3.28
256 KB	0.59	0.23	2.49	94.66	2.03
512 KB	0.67	0.24	1.95	95.53	1.61
1 MB	0.43	0.16	1.50	96.48	1.42
2 MB	0.36	0.14	1.15	97.30	1.04
4 MB	0.30	0.12	0.91	97.87	0.80
8 MB	0.28	0.11	0.79	98.14	0.68
