Data Size	Alloc OpenCL Buffer Time (μs)	Kernel Argument Setting Time (μs)	Buffer to FPGA Time (μs)	Kernel Execution Time (μs)	FPGA to Buffer Time (μs)
64 B	29151	7908	204050	187783	34369
128 B	29116	8274	36241	190097	35302
256 B	28930	8345	36523	192892	35185
512 B	28814	8320	36785	205876	36157
1 KB	29044	8335	37119	224507	36718
2 KB	30086	10528	37331	260335	36871
4 KB	29463	8562	37174	329571	37066
8 KB	29156	8529	36801	470758	36382
16 KB	30131	8886	39084	767126	37527
32 KB	31386	9551	41669	1348441	38193
64 KB	31956	9457	99713	2569668	88125
128 KB	33569	12814	99383	4820942	107749
256 KB	75512	22083	177722	9578049	158327
512 KB	81038	26839	207832	18708979	154643
1 MB	95211	27570	269807	37030151	155054
2 MB	121370	34538	365635	73618251	152451
4 MB	157245	47939	560545	146850032	162194
8 MB	226856	77631	950684	293303453	153275
Data Size	Alloc OpenCL Buffer Time (%)	Kernel Argument Setting Time (%)	Buffer to FPGA Time (%)	Kernel Execution Time (%)	FPGA to Buffer Time (%)
64 B	6.29	1.71	44.05	40.54	7.42
128 B	9.74	2.77	12.12	63.57	11.81
256 B	9.58	2.76	12.10	63.90	11.66
512 B	9.12	2.63	11.64	65.16	11.44
1 KB	8.65	2.48	11.06	66.87	10.94
2 KB	8.02	2.81	9.95	69.39	9.83
4 KB	6.67	1.94	8.41	74.59	8.39
8 KB	5.01	1.47	6.33	80.94	6.26
16 KB	3.41	1.01	4.43	86.90	4.25
32 KB	2.14	0.65	2.84	91.78	2.60
64 KB	1.14	0.34	3.56	91.81	3.15
128 KB	0.66	0.25	1.96	95.00	2.12
256 KB	0.75	0.22	1.78	95.67	1.58
512 KB	0.42	0.14	1.08	97.55	0.81
1 MB	0.25	0.07	0.72	98.54	0.41
2 MB	0.16	0.05	0.49	99.09	0.21
4 MB	0.11	0.03	0.38	99.37	0.11
8 MB	0.08	0.03	0.32	99.52	0.05
