Data Size	Alloc OpenCL Buffer Time (μs)	Kernel Argument Setting Time (μs)	Buffer to FPGA Time (μs)	Kernel Execution Time (μs)	FPGA to Buffer Time (μs)
64 B	33123	10065	212587	198445	44465
128 B	33284	10247	40613	199995	45402
256 B	32980	10059	40486	204077	45033
512 B	31905	9877	40319	216975	44728
1 KB	31742	9864	40767	237923	44529
2 KB	31545	9669	40721	278964	45057
4 KB	31759	9637	40898	359517	45242
8 KB	31690	9779	41449	523589	45401
16 KB	32031	10043	42904	864708	46014
32 KB	36900	14580	45303	1533989	46976
64 KB	35672	10963	118689	2878668	91886
128 KB	36020	11539	125845	5520917	93297
256 KB	69942	25042	178690	10941712	114317
512 KB	78577	24986	198021	21499732	124731
1 MB	94332	28407	248558	42610152	123108
2 MB	119114	37042	369829	84892636	115369
4 MB	156118	52288	574407	169396405	118752
8 MB	240801	82114	975032	338433676	125077
Data Size	Alloc OpenCL Buffer Time (%)	Kernel Argument Setting Time (%)	Buffer to FPGA Time (%)	Kernel Execution Time (%)	FPGA to Buffer Time (%)
64 B	6.64	2.02	42.63	39.79	8.92
128 B	10.10	3.11	12.32	60.69	13.78
256 B	9.91	3.02	12.17	61.35	13.54
512 B	9.28	2.87	11.73	63.11	13.01
1 KB	8.70	2.70	11.17	65.22	12.21
2 KB	7.77	2.38	10.03	68.72	11.10
4 KB	6.52	1.98	8.40	73.81	9.29
8 KB	4.86	1.50	6.36	80.32	6.96
16 KB	3.22	1.01	4.31	86.84	4.62
32 KB	2.20	0.87	2.70	91.43	2.80
64 KB	1.14	0.35	3.78	91.80	2.93
128 KB	0.62	0.20	2.17	95.39	1.61
256 KB	0.62	0.22	1.58	96.58	1.01
512 KB	0.36	0.11	0.90	98.06	0.57
1 MB	0.22	0.07	0.58	98.85	0.29
2 MB	0.14	0.04	0.43	99.25	0.13
4 MB	0.09	0.03	0.34	99.47	0.07
8 MB	0.07	0.02	0.29	99.58	0.04
